npool,Prevalence,Sensitivity,SensCIlow,SensCIupp
1,0.02,100,100,100
1,0.5,100,100,100
1,1,100,100,100
1,2,100,100,100
2,0.02,83.4,82.6,84.1
2,0.5,83.6,82.9,84.3
2,1,83.5,83.3,83.7
2,2,83.7,83.5,83.9
2,5,83.6,82.8,84.3
2,10,84.6,83.9,85.3
2,20,85.2,84.5,85.9
2,30,86.5,85.8,87.1
2,40,87.4,86.7,88
3,0.02,79.9,79.1,80.7
3,0.5,80.4,79.6,81.1
3,1,81.1,80.8,81.3
3,2,81.2,81,81.4
3,5,81.9,81.1,82.7
3,10,82.5,81.7,83.2
3,20,84.7,83.9,85.3
3,30,87.1,86.4,87.7
3,40,88.6,88,89.2
4,0.02,78.2,77.5,78.9
4,0.5,78.7,77.9,79.5
4,1,79.4,79.2,79.7
4,2,79.5,79.2,79.7
4,5,80.3,79.6,81.1
4,10,81.6,80.9,82.4
4,20,84.6,83.9,85.3
4,30,87.2,86.5,87.8
4,40,90.2,89.6,90.8
5,0.02,76.6,75.8,77.4
5,0.5,77.2,76.3,78
5,1,77.9,77.6,78.1
5,2,78.1,77.9,78.4
5,5,79.7,78.9,80.5
5,10,80.2,79.4,81
5,20,85.5,84.8,86.2
5,30,88.4,87.8,89
5,40,92.1,91.5,92.6
6,0.02,75.1,74.3,75.9
6,0.5,75.8,75,76.7
6,1,76.3,76.1,76.6
6,2,77,76.8,77.3
6,5,77.9,77.1,78.7
6,10,80.7,79.9,81.5
6,20,86.3,85.6,87
6,30,89.8,89.2,90.4
6,40,93.2,92.6,93.6
7,0.02,73.8,73,74.6
7,0.5,74.5,73.7,75.4
7,1,75.4,75.2,75.7
7,2,76,75.7,76.2
7,5,77.5,76.7,78.3
7,10,80.9,80.1,81.6
7,20,86.6,85.9,87.2
7,30,91.1,90.6,91.7
7,40,95.2,94.8,95.6
8,0.02,72.9,72.1,73.7
8,0.5,73.6,72.7,74.5
8,1,74.5,74.3,74.8
8,2,75.3,75,75.6
8,5,77.1,76.3,77.9
8,10,80.4,79.6,81.2
8,20,86.9,86.2,87.5
8,30,91.9,91.3,92.4
8,40,95.9,95.5,96.3
9,0.02,72,71,73
9,0.5,72.6,71.7,73.4
9,1,73.5,73.2,73.8
9,2,74.4,74.1,74.7
9,5,76.9,76,77.7
9,10,81.2,80.4,82
9,20,87.5,86.9,88.2
9,30,93.3,92.8,93.7
9,40,96.8,96.4,97.1
10,0.02,71.2,70.5,71.9
10,0.5,72,71.1,72.9
10,1,73,72.8,73.1
10,2,73.9,73.6,74.2
10,5,77.3,76.5,78.1
10,10,80.7,79.9,81.4
10,20,89,88.4,89.6
10,30,94.7,94.3,95.1
10,40,97.8,97.5,98
11,0.02,70.6,69.6,71.5
11,0.5,71.3,70.5,72.2
11,1,72.3,72,72.5
11,2,73.3,72.9,73.5
12,0.02,70,69.2,70.8
12,0.5,70.8,69.9,71.7
12,1,71.6,71.3,71.9
12,2,72.8,72.5,73.1
13,0.02,69.5,68.7,70.3
13,0.5,70.2,69.3,71.1
13,1,71.1,70.8,71.4
13,2,72.1,71.9,72.4
14,0.02,68.9,68.1,69.7
14,0.5,69.7,68.8,70.6
14,1,70.5,70.2,70.8
14,2,71.8,71.5,72.1
15,0.02,68.4,67.6,69.2
15,0.5,69.2,68.3,70.1
15,1,70.1,69.8,70.3
15,2,71.5,71.2,71.7
16,0.02,67.9,67.1,68.7
16,0.5,68.8,67.9,69.7
16,1,69.5,69.2,69.8
16,2,71.2,70.9,71.4
17,0.02,67.5,66.7,68.3
17,0.5,68.3,67.4,69.2
17,1,69,68.7,69.3
17,2,70.9,70.6,71.2
18,0.02,67.1,66.3,67.9
18,0.5,67.8,66.9,68.7
18,1,68.8,68.5,69.1
18,2,70.7,70.4,71
19,0.02,66.7,66,67.5
19,0.5,67.4,66.5,68.3
19,1,68.4,68.1,68.7
19,2,70.6,70.3,70.8
20,0.02,66.5,65.7,67.3
20,0.5,67.2,66.2,68.1
20,1,68,67.7,68.3
20,2,70.4,70.1,70.7